SNPnames	Corr.All	FST.All	s_high	demog	p.end	SNPIncluded	He.LS	He_samp	log.bf	rho	xtx	xtx.empP	bf.empP	rho.empP	TW.Zscore	TW.MinusLogP	TW.P
1364516064_686	-0.442589012	0.044361503	0	1R	0.327798983	TRUE	0.44069362	0.44257716	-1.28446461	0.053069	92.289	0.372525253	0.284242424	0.655151515	1.10146	0.567516	0.270697
1364517231_239	0.100175314	0.020679659	0	1R	0.275311893	TRUE	0.399030509	0.387977778	-1.257023632	0.013576	91.734	0.336868687	0.364141414	0.334646465	0.003744	0.0012993	0.997013
1364561152_678	0.142986441	0.017815724	0	1R	0.395125285	TRUE	0.478002588	0.480879012	-1.274072041	0.0063074	90.452	0.253535354	0.313434343	0.285757576	0.161502	0.059634	0.871698
1364524359_82	-0.481633995	0.059731327	0	1R	0.328730125	TRUE	0.44133326	0.459861111	-1.323708871	0.031749	92.888	0.415252525	0.165252525	0.482323232	0.192812	0.072062	0.847107
1364555910_747	-0.042357861	0.046510835	0	1R	0.142805115	TRUE	0.244823629	0.22537716	-1.341568829	-0.016511	85.715	0.053434343	0.112525253	0.154545455	1.1719	0.617558	0.241236
1364586994_542	-0.29210276	0.03657129	0	1R	0.204881754	TRUE	0.325810442	0.334367901	-1.296880654	0.013676	92.59	0.394242424	0.243838384	0.335959596	1.46194	0.842365	0.143759
1364546636_970	-0.271596785	0.036695867	0	1R	0.068918019	TRUE	0.128336651	0.120582716	-1.32766196	-0.0072513	91.971	0.350505051	0.153232323	0.199090909	0.334813	0.132081	0.737766
1364569738_784	0.372958742	0.016612438	0	1R	0.562332409	TRUE	0.492229342	0.493323457	-1.107510258	0.037185	90.922	0.283535354	0.649393939	0.528989899	0.609428	0.265808	0.54224
1364601089_69	-0.287994208	0.038179472	0	1R	0.686314106	TRUE	0.430574107	0.437577778	-1.314571783	0.0091456	91.85	0.343434343	0.191313131	0.304949495	0.739408	0.337564	0.459659
1364656683_910	0.009065852	0.087083791	0	1R	0.426711997	TRUE	0.489257737	0.493451235	-1.350003493	-0.027493	99.761	0.798888889	0.093535354	0.11020202	0.19319	0.0722138	0.84681
1364710248_533	-0.419637159	0.04965438	0	1R	0.248529538	TRUE	0.373525214	0.387451235	-1.282138183	0.057113	92.832	0.411313131	0.291515152	0.685858586	0.943766	0.461817	0.345289
1364584931_188	0.286551317	0.044703087	0	1R	0.268144079	TRUE	0.392485664	0.369382716	-1.304693478	0.0006197	98.186	0.733434343	0.220606061	0.24969697	0.99796	0.497165	0.318299
1364578876_869	-0.041320813	0.029472954	0	1R	0.852453169	TRUE	0.251553527	0.26195	-1.371927965	0.00027978	86.386	0.071919192	0.053737374	0.247878788	0.706425	0.318828	0.479924
1364552258_221	-0.363077244	0.090466346	0	1R	0.552220757	TRUE	0.494545985	0.493577778	-1.269969106	0.03057	101.54	0.858181818	0.326262626	0.473434343	1.75865	1.10438	0.0786365
1364523269_486	-0.144409346	0.019135363	0	1R	0.267089425	TRUE	0.391505328	0.390591975	-0.973916379	-0.068131	89.429	0.196969697	0.773636364	0.026161616	1.23867	0.666618	0.215468
1364600805_864	0.251070634	0.068173097	0	1R	0.453083766	TRUE	0.495597734	0.493323457	-1.341854995	-0.010706	98.381	0.742121212	0.111212121	0.182626263	0.96678	0.476703	0.333654
1364555522_150	0.01359525	0.065144045	0	1R	0.540728662	TRUE	0.496682352	0.494661111	-1.022203257	-0.02048	100.15	0.815353535	0.735050505	0.137878788	0.395234	0.159474	0.69267
1364646429_313	0.240906745	0.094751672	0	1R	0.212940798	TRUE	0.335194029	0.285851235	-0.904133547	0.11544	93.938	0.486363636	0.819292929	0.949292929	0.146998	0.0539735	0.883134
1364561047_1000	0.072612086	0.048819465	0	1R	0.565387761	TRUE	0.491448881	0.489727778	-0.446553914	0.06128	99.446	0.787272727	0.955555556	0.713737374	0.591133	0.256152	0.554431
1364583831_417	-0.041007822	0.024130749	0	1R	0.509401576	TRUE	0.499823221	0.499997531	-1.192735645	-0.04105	92.179	0.365858586	0.514747475	0.06969697	1.07345	0.548109	0.283068
1364567356_691	0.456342526	0.055306811	0	1R	0.87328094	TRUE	0.221322679	0.244784568	-1.002906448	0.051332	101.61	0.86040404	0.75030303	0.642020202	1.27953	0.697433	0.200709
1364621795_229	0.036786984	0.05548659	0	1R	0.407835538	TRUE	0.483011424	0.485169753	-1.290959122	0.040289	97.897	0.721414141	0.262424242	0.552929293	0.255096	0.0976442	0.798649
1364536603_996	-0.134684402	0.063633698	0	1R	0.809274836	TRUE	0.308698152	0.329212346	-1.239683087	0.060821	97.732	0.712525253	0.411919192	0.71040404	0.168888	0.0625399	0.865885
1364524385_918	0.405336006	0.040665901	0	1R	0.712279793	TRUE	0.409874579	0.41365679	-1.149298639	0.026489	90.156	0.234949495	0.588989899	0.437070707	1.20248	0.63983	0.229177
