"SNPnames" "Corr.All" "FST.All" "s_high" "SNPIncluded" "He.LS" "He_samp" "log.bf" "rho" "xtx" "TW.Zscore" "Md" "Hd" "Kd" "Nd"
"1364614318_915" -0.0961078067278251 0.0346206380013936 0 TRUE 0.28449988894481 0.271061111111111 -1.01338051935074 -0.091751 35.397 2.80861 2.72521094723899 3.46953015076999 11.398609620892 0.414550316196308
"1364691754_979" -0.301317376781253 0.0972200872913343 0 TRUE 0.499967349446493 0.49875 -1.18981454432836 0.025565 36.874 1.43517 1.41506264223141 2.2445680192553 8.62986300148769 0.257707837136189
"1364652019_72" 0.203619710582702 0.0571163329876313 0 TRUE 0.490267444180624 0.490661111111111 -1.21519020568518 0.035305 35.207 0.828866 1.28015317905582 1.80096672549081 6.72888986091897 0.206375029477256
"1364590263_76" -0.255228961959936 0.0155212122602132 0 TRUE 0.479233661852233 0.486661111111111 -1.02077496269755 0.044723 30.475 0.438866 1.94311594025983 2.69756413266644 7.5682676096871 0.350523230895948
"1364593440_893" 0.214454962581698 0.0103111332135084 0 TRUE 0.490608429621925 0.493194444444444 -1.25539412458576 0.050639 30.013 1.38575 2.1705270934698 2.05234472418223 7.65829897883584 0.0741939588837609
"1364620296_117" -0.209464359622776 0.0247420295013784 0 TRUE 0.494354946142116 0.499327777777778 -1.28831928292219 -0.0055758 31.05 0.965833 2.14016142417509 1.83505354641884 6.36345681408602 0.125176601218344
"1364579139_312" -0.142252578194505 0.120216401527686 0 TRUE 0.221558760699187 0.213727777777778 -1.30258755961518 -0.019537 37.065 0.0830277 2.41549225025116 2.32044209997118 8.61022764640786 0.0914703914824617
"1364601128_618" 0.354140321772268 0.0338266558149964 0 TRUE 0.297799058886825 0.2688 -1.18851883332145 0.03885 34.132 0.777466 1.08356247658697 1.73002481446004 6.24480891911644 0.122120464090481
"1364574893_423" 0.161431490019452 0.0473705181357997 0 TRUE 0.49588919887737 0.4968 -1.09470074002004 0.012639 33.968 1.04512 0.284222102332504 2.0045106939559 6.34545750631544 0.289436322003124
"1364579525_435" -0.19739729148027 0.0160261968633986 0 TRUE 0.498124275448195 0.496244444444444 -1.16638122372248 -0.0095357 29.922 1.07544 1.53065030447301 1.92706589415374 6.97277109738449 0.125691963038503
"1364632656_69" -0.0803736517660402 0.0569507102290025 0 TRUE 0.16739572980353 0.182661111111111 -0.62572835672402 -0.021661 37.805 2.79712 4.95189938035512 5.37873717313122 12.6866325833494 0.586934077262381
"1364612661_369" -0.222037675614697 0.0209757564042676 0 TRUE 0.2963883824239 0.297327777777778 -1.24902130990922 -0.03489 34.108 1.65706 1.85825593097208 2.18463128078552 8.23012491827347 0.188025558726818
"1364576866_359" 0.477308166285635 0.039464019038923 0 TRUE 0.464578415686463 0.475061111111111 -1.26993676178501 0.042126 31.716 0.351664 2.13546157668687 1.7381471953055 6.14438272054964 0.0908581669009115
"1364586788_190" 0.106349786502696 0.0170949247841963 0 TRUE 0.321141287573596 0.279994444444444 -1.30417697614302 0.023973 30.676 0.324464 2.5093706820774 1.93558561401431 6.25986888649806 0.148167742103719
"1364621283_404" 0.403016023244668 0.0374123529412164 0 TRUE 0.101345046331233 0.106911111111111 -1.37316709559241 0.018809 34.448 0.545408 2.65596261600509 2.20441745196089 6.71973125170768 0.169763855784058
